CleanedText;TokenizedText;Words quantity;Class;True class
midst pandemic economic crisis death middle class 2021 great year multibillionaires saw wealth soared new record;['midst', 'pandemic', 'economic', 'crisis', 'death', 'middle', 'class', '2021', 'great', 'year', 'multibillionaires', 'saw', 'wealth', 'soared', 'new', 'record'];16;1;1
another year passed still making tea towel celebrating radical history thanks supported u joined u journey;['another', 'year', 'passed', 'still', 'making', 'tea', 'towel', 'celebrating', 'radical', 'history', 'thanks', 'supported', 'u', 'joined', 'u', 'journey'];16;1;1
dad always wanted youtube music;['dad', 'always', 'wanted', 'youtube', 'music'];5;4;4
new ep memory coming february 7 track;['new', 'ep', 'memory', 'coming', 'february', '7', 'track'];7;4;4
michael lobo resigns minister mla bjp submits resignation cm sawant speaker rajesh patnekar respectively likely join congress;['michael', 'lobo', 'resigns', 'minister', 'mla', 'bjp', 'submits', 'resignation', 'cm', 'sawant', 'speaker', 'rajesh', 'patnekar', 'respectively', 'likely', 'join', 'congress'];17;1;1
mwizi ni mwizi tu thief shame think kenyan need leader dealer governor;['mwizi', 'ni', 'mwizi', 'tu', 'thief', 'shame', 'think', 'kenyan', 'need', 'leader', 'dealer', 'governor'];12;1;1
season come season go trend fashion fashion retail supplychain speed game ever read smart logistics help ease demand speedy delivery ease pressure supply chain;['season', 'come', 'season', 'go', 'trend', 'fashion', 'fashion', 'retail', 'supplychain', 'speed', 'game', 'ever', 'read', 'smart', 'logistics', 'help', 'ease', 'demand', 'speedy', 'delivery', 'ease', 'pressure', 'supply', 'chain'];24;2;2
bomb rush cyberfunk announced cloud gaming platform time;['bomb', 'rush', 'cyberfunk', 'announced', 'cloud', 'gaming', 'platform', 'time'];8;3;3
new brunswick coalition person disability putting second fundraiser bingo miss coming sunday;['new', 'brunswick', 'coalition', 'person', 'disability', 'putting', 'second', 'fundraiser', 'bingo', 'miss', 'coming', 'sunday'];12;3;0
witnessed congrats benstokes 38 congrats englandcricket magical importantly stay series;['witnessed', 'congrats', 'benstokes', '38', 'congrats', 'englandcricket', 'magical', 'importantly', 'stay', 'series'];10;0;0
skill serial killer gain one extra turn user skill kill target;['skill', 'serial', 'killer', 'gain', 'one', 'extra', 'turn', 'user', 'skill', 'kill', 'target'];11;3;3
pe 2017 smokepatch 17 v 3 pc amistosos 5 lazio x atalanta;['pe', '2017', 'smokepatch', '17', 'v', '3', 'pc', 'amistosos', '5', 'lazio', 'x', 'atalanta'];12;3;3
finished first video game virus home think offensive soon;['finished', 'first', 'video', 'game', 'virus', 'home', 'think', 'offensive', 'soon'];9;3;3
cheer making lot new music 2022;['cheer', 'making', 'lot', 'new', 'music', '2022'];6;4;4
afghanistan baby lost kabul evacuation reunited family;['afghanistan', 'baby', 'lost', 'kabul', 'evacuation', 'reunited', 'family'];7;1;1
chet baker never entered mind beautiful ballad kenny burrell guitar paul chamber bass;['chet', 'baker', 'never', 'entered', 'mind', 'beautiful', 'ballad', 'kenny', 'burrell', 'guitar', 'paul', 'chamber', 'bass'];13;4;4
rumor psvr 2 backwards compatible psvr game;['rumor', 'psvr', '2', 'backwards', 'compatible', 'psvr', 'game'];7;3;3
psa nothing wrong wearing make wearing form fitting clothes fashionable sadly noticed judgmental attitude part indian people come thing personally love make;['psa', 'nothing', 'wrong', 'wearing', 'make', 'wearing', 'form', 'fitting', 'clothes', 'fashionable', 'sadly', 'noticed', 'judgmental', 'attitude', 'part', 'indian', 'people', 'come', 'thing', 'personally', 'love', 'make'];22;2;2
catherine red really suit;['catherine', 'red', 'really', 'suit'];4;2;2
dnf team currently working dynamic new stage upcoming dnf game;['dnf', 'team', 'currently', 'working', 'dynamic', 'new', 'stage', 'upcoming', 'dnf', 'game'];10;3;3
name duo wrong answer;['name', 'duo', 'wrong', 'answer'];4;4;4
rooftop music pizza cooool wind else wish;['rooftop', 'music', 'pizza', 'cooool', 'wind', 'else', 'wish'];7;4;4
fashion groom wedding shoe;['fashion', 'groom', 'wedding', 'shoe'];4;0;2
best advice ever received simple keep comfortable stay consistent;['best', 'advice', 'ever', 'received', 'simple', 'keep', 'comfortable', 'stay', 'consistent'];9;2;2
make call listen non stop music get smart fitness watch gizfit 910 buy;['make', 'call', 'listen', 'non', 'stop', 'music', 'get', 'smart', 'fitness', 'watch', 'gizfit', '910', 'buy'];13;4;4
summer break nz mean kid home school serving lewks;['summer', 'break', 'nz', 'mean', 'kid', 'home', 'school', 'serving', 'lewks'];9;2;2
nacds welcome biden administration 039 action confront dire dir fee inflate senior 039 drug cost jeopardize pharmacy 039 viability;['nacds', 'welcome', 'biden', 'administration', '039', 'action', 'confront', 'dire', 'dir', 'fee', 'inflate', 'senior', '039', 'drug', 'cost', 'jeopardize', 'pharmacy', '039', 'viability'];19;1;1
throw back 2001 really gave u hitd;['throw', 'back', '2001', 'really', 'gave', 'u', 'hitd'];7;4;4
bodybuilding;['bodybuilding'];1;0;0
eye fashion trend able justify spending new clothes finally found great deal decided go assume trend must already right;['eye', 'fashion', 'trend', 'able', 'justify', 'spending', 'new', 'clothes', 'finally', 'found', 'great', 'deal', 'decided', 'go', 'assume', 'trend', 'must', 'already', 'right'];19;2;2
cristiano ronaldo evolution player tell u favourite version throughout career;['cristiano', 'ronaldo', 'evolution', 'player', 'tell', 'u', 'favourite', 'version', 'throughout', 'career'];10;0;0
wimbledon still nba final game tonight;['wimbledon', 'still', 'nba', 'final', 'game', 'tonight'];6;0;0
bass kinda thing;['bass', 'kinda', 'thing'];3;4;4
made meme responding people say thing like january 6 violent insurrection wear three mask protect child refuse look information;['made', 'meme', 'responding', 'people', 'say', 'thing', 'like', 'january', '6', 'violent', 'insurrection', 'wear', 'three', 'mask', 'protect', 'child', 'refuse', 'look', 'information'];19;1;1
new year resolution improve content push medium;['new', 'year', 'resolution', 'improve', 'content', 'push', 'medium'];7;1;2
long solo walk early december buy bread visit 2 kissas many park fall colour usually peak early december tokyo always end posting fall picture december january;['long', 'solo', 'walk', 'early', 'december', 'buy', 'bread', 'visit', '2', 'kissas', 'many', 'park', 'fall', 'colour', 'usually', 'peak', 'early', 'december', 'tokyo', 'always', 'end', 'posting', 'fall', 'picture', 'december', 'january'];26;2;2
recording funky stomp today;['recording', 'funky', 'stomp', 'today'];4;4;4
well time finish drawing pending 2021;['well', 'time', 'finish', 'drawing', 'pending', '2021'];6;3;2
pmo name photo removed covid 19 vaccination certificate five poll bound state announcement election implementation model code conduct saturday;['pmo', 'name', 'photo', 'removed', 'covid', '19', 'vaccination', 'certificate', 'five', 'poll', 'bound', 'state', 'announcement', 'election', 'implementation', 'model', 'code', 'conduct', 'saturday'];19;1;1
light addiction friend get stuck day;['light', 'addiction', 'friend', 'get', 'stuck', 'day'];6;3;3
moonward aiming set scarf lil hat cute;['moonward', 'aiming', 'set', 'scarf', 'lil', 'hat', 'cute'];7;2;2
canada reach agreement compensate indigenous child taken family;['canada', 'reach', 'agreement', 'compensate', 'indigenous', 'child', 'taken', 'family'];8;1;1
remake final art piece 2021 miss year throw whole year away burn;['remake', 'final', 'art', 'piece', '2021', 'miss', 'year', 'throw', 'whole', 'year', 'away', 'burn'];12;3;3
oh cool fashion angel life;['oh', 'cool', 'fashion', 'angel', 'life'];5;2;2
need winter olympics asap much better curling;['need', 'winter', 'olympics', 'asap', 'much', 'better', 'curling'];7;0;0
mehdi elefifi member u democratic party said russian move ukraine led kind fear atlantic party direct dialogue u;['mehdi', 'elefifi', 'member', 'u', 'democratic', 'party', 'said', 'russian', 'move', 'ukraine', 'led', 'kind', 'fear', 'atlantic', 'party', 'direct', 'dialogue', 'u'];18;1;1
connor rk 800 cosplay detroit become human;['connor', 'rk', '800', 'cosplay', 'detroit', 'become', 'human'];7;3;3
naka token key part ecosystem essential access game also play role governance platform token contract recently put third party audit major minor issue found ready go;['naka', 'token', 'key', 'part', 'ecosystem', 'essential', 'access', 'game', 'also', 'play', 'role', 'governance', 'platform', 'token', 'contract', 'recently', 'put', 'third', 'party', 'audit', 'major', 'minor', 'issue', 'found', 'ready', 'go'];26;3;3
kalpop joy passion mood whole vibe around;['kalpop', 'joy', 'passion', 'mood', 'whole', 'vibe', 'around'];7;4;4
wardrobe would complete without replica aaa clothes;['wardrobe', 'would', 'complete', 'without', 'replica', 'aaa', 'clothes'];7;2;2
done eliud kipchoge achieves impossible run marathon 2 hour mission accomplished one remarkable achievement history;['done', 'eliud', 'kipchoge', 'achieves', 'impossible', 'run', 'marathon', '2', 'hour', 'mission', 'accomplished', 'one', 'remarkable', 'achievement', 'history'];15;0;0
overcoat double breasted 6 button welt pocket;['overcoat', 'double', 'breasted', '6', 'button', 'welt', 'pocket'];7;2;2
bit concept art kick new year dros enki alchemy cart dinky little wagon outside step inside strangely roomy go tardis effect;['bit', 'concept', 'art', 'kick', 'new', 'year', 'dros', 'enki', 'alchemy', 'cart', 'dinky', 'little', 'wagon', 'outside', 'step', 'inside', 'strangely', 'roomy', 'go', 'tardis', 'effect'];21;3;3
2 5 day travel solo car 500 mile 2 gonna glorious thankful everyone support work fine people give work opportunity first place x thank;['2', '5', 'day', 'travel', 'solo', 'car', '500', 'mile', '2', 'gonna', 'glorious', 'thankful', 'everyone', 'support', 'work', 'fine', 'people', 'give', 'work', 'opportunity', 'first', 'place', 'x', 'thank'];24;3;3
failure cannot stream game guess breathe fine meanwhile choking tear one see might well give happy;['failure', 'cannot', 'stream', 'game', 'guess', 'breathe', 'fine', 'meanwhile', 'choking', 'tear', 'one', 'see', 'might', 'well', 'give', 'happy'];16;3;3
ai goldfish visualization algorithm behavior next fish person really worn;['ai', 'goldfish', 'visualization', 'algorithm', 'behavior', 'next', 'fish', 'person', 'really', 'worn'];10;3;3
new music coming soon;['new', 'music', 'coming', 'soon'];4;4;4
handcrafted bracelet pewter thread 1 0 cm az 021 love;['handcrafted', 'bracelet', 'pewter', 'thread', '1', '0', 'cm', 'az', '021', 'love'];10;2;2
someone teach uneducated people sitting parliament spreading hate someone teach people putting said people position power harm country;['someone', 'teach', 'uneducated', 'people', 'sitting', 'parliament', 'spreading', 'hate', 'someone', 'teach', 'people', 'putting', 'said', 'people', 'position', 'power', 'harm', 'country'];18;1;1
arrogance political class might rna problem nigeria folk spike protein help problem permeate;['arrogance', 'political', 'class', 'might', 'rna', 'problem', 'nigeria', 'folk', 'spike', 'protein', 'help', 'problem', 'permeate'];13;1;1
preview trailer upcoming concert back concert hall excited;['preview', 'trailer', 'upcoming', 'concert', 'back', 'concert', 'hall', 'excited'];8;4;4
know esperanza spalding;['know', 'esperanza', 'spalding'];3;4;4
win italy 1 66 switzerland 6 0 draw 3 85;['win', 'italy', '1', '66', 'switzerland', '6', '0', 'draw', '3', '85'];10;0;0
list debate;['list', 'debate'];2;0;0
say leaf ronaldo certainly one track defender front observe exactly thing ronaldo time jump sec defender head home unbelievable anticipation pure precision;['say', 'leaf', 'ronaldo', 'certainly', 'one', 'track', 'defender', 'front', 'observe', 'exactly', 'thing', 'ronaldo', 'time', 'jump', 'sec', 'defender', 'head', 'home', 'unbelievable', 'anticipation', 'pure', 'precision'];22;0;0
woman rolled sleeve cat mom shirt;['woman', 'rolled', 'sleeve', 'cat', 'mom', 'shirt'];6;2;2
hello twitter new coming clothing brand excited start sharing wanting know type donut design would want see clothing item;['hello', 'twitter', 'new', 'coming', 'clothing', 'brand', 'excited', 'start', 'sharing', 'wanting', 'know', 'type', 'donut', 'design', 'would', 'want', 'see', 'clothing', 'item'];19;2;2
cuomo resigns today reflect accomplishment covid;['cuomo', 'resigns', 'today', 'reflect', 'accomplishment', 'covid'];6;1;1
already know race going play available race;['already', 'know', 'race', 'going', 'play', 'available', 'race'];7;3;3
turn close mind affect article police crime sentencing court bill;['turn', 'close', 'mind', 'affect', 'article', 'police', 'crime', 'sentencing', 'court', 'bill'];10;1;1
sportsart expands eco powr tm line unveiling g 260 rower 2022 consumer electronic show;['sportsart', 'expands', 'eco', 'powr', 'tm', 'line', 'unveiling', 'g', '260', 'rower', '2022', 'consumer', 'electronic', 'show'];14;1;0
new federal ministerial coordinating committee pei potato brings whole government approach help farmer affected u trade disruption;['new', 'federal', 'ministerial', 'coordinating', 'committee', 'pei', 'potato', 'brings', 'whole', 'government', 'approach', 'help', 'farmer', 'affected', 'u', 'trade', 'disruption'];17;1;1
15 february 1943 pole józef noji shot auschwitz one best long distance runner second polish republic olympian multiple champion poland 5000 10000 cross country running tram driver;['15', 'february', '1943', 'pole', 'józef', 'noji', 'shot', 'auschwitz', 'one', 'best', 'long', 'distance', 'runner', 'second', 'polish', 'republic', 'olympian', 'multiple', 'champion', 'poland', '5000', '10000', 'cross', 'country', 'running', 'tram', 'driver'];27;0;0
bigger fight hand fight country done getting nation work face dislike;['bigger', 'fight', 'hand', 'fight', 'country', 'done', 'getting', 'nation', 'work', 'face', 'dislike'];11;1;1
electric 2022 fisker ocean driving wild;['electric', '2022', 'fisker', 'ocean', 'driving', 'wild'];6;0;0
week since axphin showed screenshotsaturday view sewer find way warren interconnecting pipe fighting rous oddly large slime thing videogames ftw;['week', 'since', 'axphin', 'showed', 'screenshotsaturday', 'view', 'sewer', 'find', 'way', 'warren', 'interconnecting', 'pipe', 'fighting', 'rous', 'oddly', 'large', 'slime', 'thing', 'videogames', 'ftw'];20;3;3
melody weary world;['melody', 'weary', 'world'];3;4;4
elvis presley signing autograph fan;['elvis', 'presley', 'signing', 'autograph', 'fan'];5;4;4
beauty woman;['beauty', 'woman'];2;2;2
pixel art 258 today made minecraft parrot basking sunlight;['pixel', 'art', '258', 'today', 'made', 'minecraft', 'parrot', 'basking', 'sunlight'];9;3;3
number always fluctuates little 100 follower thanks lot everyone followed mean lot;['number', 'always', 'fluctuates', 'little', '100', 'follower', 'thanks', 'lot', 'everyone', 'followed', 'mean', 'lot'];12;3;3
could go back time change one thing would become better friend powerspace tour 2007 remembering funny;['could', 'go', 'back', 'time', 'change', 'one', 'thing', 'would', 'become', 'better', 'friend', 'powerspace', 'tour', '2007', 'remembering', 'funny'];16;2;2
man utd bos rangnick concedes january sale happen;['man', 'utd', 'bos', 'rangnick', 'concedes', 'january', 'sale', 'happen'];8;0;0
follow chaos resolution book one vote president elect dy 3 day election incumbent president refuse leave vp elect claim right serve acting pres;['follow', 'chaos', 'resolution', 'book', 'one', 'vote', 'president', 'elect', 'dy', '3', 'day', 'election', 'incumbent', 'president', 'refuse', 'leave', 'vp', 'elect', 'claim', 'right', 'serve', 'acting', 'pres'];23;1;1
government committed boosting agriculture create job;['government', 'committed', 'boosting', 'agriculture', 'create', 'job'];6;1;1
match poker brings nation people together korean japanese national team collectively pose photo 2019 asian nation cup taiwan;['match', 'poker', 'brings', 'nation', 'people', 'together', 'korean', 'japanese', 'national', 'team', 'collectively', 'pose', 'photo', '2019', 'asian', 'nation', 'cup', 'taiwan'];18;0;0
send u music video;['send', 'u', 'music', 'video'];4;4;4
king fighter 96 saturn 1996 snk jefes de art fighting fatal fury se suman en esta lucha de furiosos peleadores;['king', 'fighter', '96', 'saturn', '1996', 'snk', 'jefes', 'de', 'art', 'fighting', 'fatal', 'fury', 'se', 'suman', 'en', 'esta', 'lucha', 'de', 'furiosos', 'peleadores'];20;3;3
fast furious;['fast', 'furious'];2;2;0
existing government structure policy adequate enough feed rising population siasa bomba continues shed light kenya food security expect week episode;['existing', 'government', 'structure', 'policy', 'adequate', 'enough', 'feed', 'rising', 'population', 'siasa', 'bomba', 'continues', 'shed', 'light', 'kenya', 'food', 'security', 'expect', 'week', 'episode'];20;1;1
muhammad ali colin kaepernick proud history black protest sport lovely opportunity write brother;['muhammad', 'ali', 'colin', 'kaepernick', 'proud', 'history', 'black', 'protest', 'sport', 'lovely', 'opportunity', 'write', 'brother'];13;0;0
kei kamara douala good luck;['kei', 'kamara', 'douala', 'good', 'luck'];5;0;0
know always looking new company onboard industry park austria;['know', 'always', 'looking', 'new', 'company', 'onboard', 'industry', 'park', 'austria'];9;1;1
snippet gameplay footage tonight playtest;['snippet', 'gameplay', 'footage', 'tonight', 'playtest'];5;3;3
love playing retro game break music session;['love', 'playing', 'retro', 'game', 'break', 'music', 'session'];7;4;4
love working home baby actually write song;['love', 'working', 'home', 'baby', 'actually', 'write', 'song'];7;4;4
check 2021 year review update 2022 strategy artist service revenue growth morning press release;['check', '2021', 'year', 'review', 'update', '2022', 'strategy', 'artist', 'service', 'revenue', 'growth', 'morning', 'press', 'release'];14;4;4
kanye seems looking muse express fashion idea regardless fact kim kardashian mother kid also muse hopping one muse another think emotionally available;['kanye', 'seems', 'looking', 'muse', 'express', 'fashion', 'idea', 'regardless', 'fact', 'kim', 'kardashian', 'mother', 'kid', 'also', 'muse', 'hopping', 'one', 'muse', 'another', 'think', 'emotionally', 'available'];22;2;2
1 000 ct milano set 10 g casino clay chip acrylic display case casino game;['1', '000', 'ct', 'milano', 'set', '10', 'g', 'casino', 'clay', 'chip', 'acrylic', 'display', 'case', 'casino', 'game'];15;3;0
got comment regarding scene dark added light source make scene brighter;['got', 'comment', 'regarding', 'scene', 'dark', 'added', 'light', 'source', 'make', 'scene', 'brighter'];11;3;3
going late sister photo album man mother got around politics 60 s 70 s;['going', 'late', 'sister', 'photo', 'album', 'man', 'mother', 'got', 'around', 'politics', '60', 's', '70', 's'];14;1;1
tip make cosplay look professional le idk jankey;['tip', 'make', 'cosplay', 'look', 'professional', 'le', 'idk', 'jankey'];8;2;3
jungkook spotify ohmygod;['jungkook', 'spotify', 'ohmygod'];3;4;4
raghu rama krishnam raju serious comment jagan price hike watch;['raghu', 'rama', 'krishnam', 'raju', 'serious', 'comment', 'jagan', 'price', 'hike', 'watch'];10;1;1
random brazilian football team invokes spirit pokémon welcome veteran japanese player;['random', 'brazilian', 'football', 'team', 'invokes', 'spirit', 'pokémon', 'welcome', 'veteran', 'japanese', 'player'];11;0;3
hey dan compose music beautiful melody hard hitting vibe everything interested working together project reach via dm email end video;['hey', 'dan', 'compose', 'music', 'beautiful', 'melody', 'hard', 'hitting', 'vibe', 'everything', 'interested', 'working', 'together', 'project', 'reach', 'via', 'dm', 'email', 'end', 'video'];20;3;4
multiple source tell politics 101 exploring run state senate district 16 cover king county part tulare kern county;['multiple', 'source', 'tell', 'politics', '101', 'exploring', 'run', 'state', 'senate', 'district', '16', 'cover', 'king', 'county', 'part', 'tulare', 'kern', 'county'];18;1;1
girlfriend took photo really like many plan 2022 hoping year get shit done productive lol;['girlfriend', 'took', 'photo', 'really', 'like', 'many', 'plan', '2022', 'hoping', 'year', 'get', 'shit', 'done', 'productive', 'lol'];15;2;2
love outfit;['love', 'outfit'];2;2;2
adding fur boot make comfortable;['adding', 'fur', 'boot', 'make', 'comfortable'];5;2;2
latest 2022 day night office wear;['latest', '2022', 'day', 'night', 'office', 'wear'];6;2;2
end production bizarre unnerving nature concept sound inspired plethora fan theory noticeable attempt simulate mental deterioration occurs sufferer dementia;['end', 'production', 'bizarre', 'unnerving', 'nature', 'concept', 'sound', 'inspired', 'plethora', 'fan', 'theory', 'noticeable', 'attempt', 'simulate', 'mental', 'deterioration', 'occurs', 'sufferer', 'dementia'];19;4;4
gaa club county sacrificing much since march lead example listened adapted problem need addressed yet sporting event get punished everything right;['gaa', 'club', 'county', 'sacrificing', 'much', 'since', 'march', 'lead', 'example', 'listened', 'adapted', 'problem', 'need', 'addressed', 'yet', 'sporting', 'event', 'get', 'punished', 'everything', 'right'];21;0;0
music art nigh tear memory;['music', 'art', 'nigh', 'tear', 'memory'];5;4;4
invite composer electronic acousmatic multichannel music propose work 8 channel minimum 16 channel higher format difused future programme;['invite', 'composer', 'electronic', 'acousmatic', 'multichannel', 'music', 'propose', 'work', '8', 'channel', 'minimum', '16', 'channel', 'higher', 'format', 'difused', 'future', 'programme'];18;4;4
yap surprised sleepless night come;['yap', 'surprised', 'sleepless', 'night', 'come'];5;3;3
good song;['good', 'song'];2;4;4
please take notice republican spokespeople behavior consistent wind blow;['please', 'take', 'notice', 'republican', 'spokespeople', 'behavior', 'consistent', 'wind', 'blow'];9;1;1
say cannot rock dress full show link;['say', 'cannot', 'rock', 'dress', 'full', 'show', 'link'];7;4;4
could make lost home away ordered take away drawn sorrow invested tough football retreated politics good enough many excuse missed many opportunity last week 2 day;['could', 'make', 'lost', 'home', 'away', 'ordered', 'take', 'away', 'drawn', 'sorrow', 'invested', 'tough', 'football', 'retreated', 'politics', 'good', 'enough', 'many', 'excuse', 'missed', 'many', 'opportunity', 'last', 'week', '2', 'day'];26;1;1
beginning end winter olympics fifty year ago first page sport newspaper;['beginning', 'end', 'winter', 'olympics', 'fifty', 'year', 'ago', 'first', 'page', 'sport', 'newspaper'];11;0;0
every positive thought silent prayer change life;['every', 'positive', 'thought', 'silent', 'prayer', 'change', 'life'];7;2;2
like landed server died got rebooted went mate died got rebooted got rebooted went loot died got rebooted went fight died got rebooted one match;['like', 'landed', 'server', 'died', 'got', 'rebooted', 'went', 'mate', 'died', 'got', 'rebooted', 'got', 'rebooted', 'went', 'loot', 'died', 'got', 'rebooted', 'went', 'fight', 'died', 'got', 'rebooted', 'one', 'match'];25;3;3
dakota johnson show new blonde highlight rock double denim santa monica studio;['dakota', 'johnson', 'show', 'new', 'blonde', 'highlight', 'rock', 'double', 'denim', 'santa', 'monica', 'studio'];12;4;4
anyone interested part nightmare team please feel free dm private link pick;['anyone', 'interested', 'part', 'nightmare', 'team', 'please', 'feel', 'free', 'dm', 'private', 'link', 'pick'];12;0;0
severn class great time pe afternoon;['severn', 'class', 'great', 'time', 'pe', 'afternoon'];6;0;0
wrote lyric bc really want singer country crime girl go prison lyric think alone understand every girl boy let try best;['wrote', 'lyric', 'bc', 'really', 'want', 'singer', 'country', 'crime', 'girl', 'go', 'prison', 'lyric', 'think', 'alone', 'understand', 'every', 'girl', 'boy', 'let', 'try', 'best'];21;4;4
great opportunity young people interest sport register interest 01530 242 706 booking megroup uk co uk group delivery discount available group club youth organisation;['great', 'opportunity', 'young', 'people', 'interest', 'sport', 'register', 'interest', '01530', '242', '706', 'booking', 'megroup', 'uk', 'co', 'uk', 'group', 'delivery', 'discount', 'available', 'group', 'club', 'youth', 'organisation'];24;0;0
much interesting cost meghan wardrobe imo designer piece worn since wedding fashion house woman helm accident;['much', 'interesting', 'cost', 'meghan', 'wardrobe', 'imo', 'designer', 'piece', 'worn', 'since', 'wedding', 'fashion', 'house', 'woman', 'helm', 'accident'];16;2;2
one best gaming character one first lara croft;['one', 'best', 'gaming', 'character', 'one', 'first', 'lara', 'croft'];8;3;3
alleged assassin haitian president hnp custody orlando w;['alleged', 'assassin', 'haitian', 'president', 'hnp', 'custody', 'orlando', 'w'];8;1;1
sharecare national academy sport medicine team inspire people develop better exercise habit achieve physical fitness goal;['sharecare', 'national', 'academy', 'sport', 'medicine', 'team', 'inspire', 'people', 'develop', 'better', 'exercise', 'habit', 'achieve', 'physical', 'fitness', 'goal'];16;1;0
hey cover song illmakelovetoyou boyz 2men boyz2 men want check make happy jejeje thanks;['hey', 'cover', 'song', 'illmakelovetoyou', 'boyz', '2men', 'boyz2', 'men', 'want', 'check', 'make', 'happy', 'jejeje', 'thanks'];14;4;4
thousand citizen living town like across pennsylvania left silently slipping poverty line time take look way start revitalizing;['thousand', 'citizen', 'living', 'town', 'like', 'across', 'pennsylvania', 'left', 'silently', 'slipping', 'poverty', 'line', 'time', 'take', 'look', 'way', 'start', 'revitalizing'];18;1;1
could believe artwork shirt show everywhere go;['could', 'believe', 'artwork', 'shirt', 'show', 'everywhere', 'go'];7;2;2
enjoyed listening orchestra music today many musician playing beautifully together loved;['enjoyed', 'listening', 'orchestra', 'music', 'today', 'many', 'musician', 'playing', 'beautifully', 'together', 'loved'];11;4;4
worst part politics politician love idea leader want leader want organizer happy room pissed ready get work done;['worst', 'part', 'politics', 'politician', 'love', 'idea', 'leader', 'want', 'leader', 'want', 'organizer', 'happy', 'room', 'pissed', 'ready', 'get', 'work', 'done'];18;1;1
day 1394 running min 10 km day total 16448 km 16 03 2018;['day', '1394', 'running', 'min', '10', 'km', 'day', 'total', '16448', 'km', '16', '03', '2018'];13;0;0
need fundamentally change business model politics making inclusive honest kind build diverse coalition necessary save democracy;['need', 'fundamentally', 'change', 'business', 'model', 'politics', 'making', 'inclusive', 'honest', 'kind', 'build', 'diverse', 'coalition', 'necessary', 'save', 'democracy'];16;1;1
jan 7 1995 green day 1 billboard modern rock single chart song come around;['jan', '7', '1995', 'green', 'day', '1', 'billboard', 'modern', 'rock', 'single', 'chart', 'song', 'come', 'around'];14;4;4
kpi ft;['kpi', 'ft'];2;0;0
back recording week lookout first episode 2022 weekend catch missed wherever get podcasts;['back', 'recording', 'week', 'lookout', 'first', 'episode', '2022', 'weekend', 'catch', 'missed', 'wherever', 'get', 'podcasts'];13;1;4
record something new;['record', 'something', 'new'];3;4;4
hi moot one character new year drawing character drew randomly ended liking much btw calling bei sure yet;['hi', 'moot', 'one', 'character', 'new', 'year', 'drawing', 'character', 'drew', 'randomly', 'ended', 'liking', 'much', 'btw', 'calling', 'bei', 'sure', 'yet'];18;0;0
